libelle_section_naf,montant,nombre,reg,color,montant_fr,nombre_fr
Industrie manufacturière,55114295.00,771.00,75,#AB47BC,"55,1 M€",771 aides
Commerce,45044493.00,1980.00,75,#29B6F6,"45,0 M€",1 980 aides
Construction,20767575.00,763.00,75,#42A5F5,"20,8 M€",763 aides
Hébergement et restauration,12757940.00,1497.00,75,#26A69A,"12,8 M€",1 497 aides
Santé humaine et action sociale,12192086.00,233.00,75,#E53935,"12,2 M€",233 aides
"Activités spécialisées, scientifiques et techniques",9300820.00,680.00,75,#FFA726,"9,3 M€",680 aides
Information et communication,8599673.00,125.00,75,#66BB6A,"8,6 M€",125 aides
Activités financières et d'assurance,7683282.00,345.00,75,#9CCC65,"7,7 M€",345 aides
Activités immobilières,7667784.00,672.00,75,#FFCA28,"7,7 M€",672 aides
Transports et entreposage,7475914.00,209.00,75,#26C6DA,"7,5 M€",209 aides
Autres sections NAF,25295052.00,1178.00,75,#AAAAAA,"25,3 M€",1 178 aides
Industrie manufacturière,33870453.00,360.00,27,#AB47BC,"33,9 M€",360 aides
Commerce,17158278.00,677.00,27,#29B6F6,"17,2 M€",677 aides
"Arts, spectacles et activités récréatives",5118775.00,78.00,27,#8E24AA,"5,1 M€",78 aides
Activités immobilières,3257633.00,222.00,27,#FFCA28,"3,3 M€",222 aides
"Activités spécialisées, scientifiques et techniques",3015963.00,214.00,27,#FFA726,"3,0 M€",214 aides
Santé humaine et action sociale,2996810.00,94.00,27,#E53935,"3,0 M€",94 aides
Activités financières et d'assurance,2841802.00,71.00,27,#9CCC65,"2,8 M€",71 aides
Hébergement et restauration,2796004.00,545.00,27,#26A69A,"2,8 M€",545 aides
Construction,2763754.00,208.00,27,#42A5F5,"2,8 M€",208 aides
Transports et entreposage,2408521.00,88.00,27,#26C6DA,"2,4 M€",88 aides
Autres sections NAF,4215368.00,293.00,27,#AAAAAA,"4,2 M€",293 aides
Commerce,1897268.00,66.00,03,#29B6F6,"1,9 M€",66 aides
Santé humaine et action sociale,1098749.00,8.00,03,#E53935,"1,1 M€",8 aides
