libelle_section_naf,montant,nombre,dep,color,montant_fr,nombre_fr
Activités de services administratifs et de soutien,964543.00,56.00,67,#FF7043,"1,0 M€",56 aides
Autres sections NAF,1360024.00,111.00,67,#AAAAAA,"1,4 M€",111 aides
Industrie manufacturière,6240124.00,70.00,27,#AB47BC,"6,2 M€",70 aides
Commerce,4527943.00,158.00,27,#29B6F6,"4,5 M€",158 aides
Construction,2473374.00,50.00,27,#42A5F5,"2,5 M€",50 aides
"Activités spécialisées, scientifiques et techniques",658182.00,46.00,27,#FFA726,"0,7 M€",46 aides
Activités de services administratifs et de soutien,591580.00,19.00,27,#FF7043,"0,6 M€",19 aides
Transports et entreposage,404739.00,27.00,27,#26C6DA,"0,4 M€",27 aides
Hébergement et restauration,389655.00,65.00,27,#26A69A,"0,4 M€",65 aides
Enseignement,291566.00,13.00,27,#00897B,"0,3 M€",13 aides
"Arts, spectacles et activités récréatives",266238.00,11.00,27,#8E24AA,"0,3 M€",11 aides
Activités immobilières,253043.00,38.00,27,#FFCA28,"0,3 M€",38 aides
Autres sections NAF,984726.00,93.00,27,#AAAAAA,"1,0 M€",93 aides
Industrie manufacturière,3511740.00,56.00,81,#AB47BC,"3,5 M€",56 aides
Construction,1611952.00,35.00,81,#42A5F5,"1,6 M€",35 aides
Commerce,1198612.00,96.00,81,#29B6F6,"1,2 M€",96 aides
"Activités spécialisées, scientifiques et techniques",937124.00,24.00,81,#FFA726,"0,9 M€",24 aides
Hébergement et restauration,260475.00,34.00,81,#26A69A,"0,3 M€",34 aides
Santé humaine et action sociale,209010.00,8.00,81,#E53935,"0,2 M€",8 aides
Transports et entreposage,152380.00,11.00,81,#26C6DA,"0,2 M€",11 aides
Activités immobilières,101685.00,20.00,81,#FFCA28,"0,1 M€",20 aides
Non connu,40463.00,5.00,81,#AAAAAA,"0,0 M€",5 aides
Enseignement,29681.00,4.00,81,#00897B,"0,0 M€",4 aides
Autres sections NAF,103999.00,28.00,81,#AAAAAA,"0,1 M€",28 aides
Commerce,3305421.00,73.00,972,#29B6F6,"3,3 M€",73 aides
Transports et entreposage,2519924.00,14.00,972,#26C6DA,"2,5 M€",14 aides
Industrie manufacturière,652346.00,26.00,972,#AB47BC,"0,7 M€",26 aides
Activités financières et d'assurance,528072.00,9.00,972,#9CCC65,"0,5 M€",9 aides
Activités immobilières,518147.00,21.00,972,#FFCA28,"0,5 M€",21 aides
Santé humaine et action sociale,363149.00,9.00,972,#E53935,"0,4 M€",9 aides
"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",351750.00,3.00,972,#7E57C2,"0,4 M€",3 aides
Activités de services administratifs et de soutien,332941.00,21.00,972,#FF7043,"0,3 M€",21 aides
Hébergement et restauration,261710.00,27.00,972,#26A69A,"0,3 M€",27 aides
Construction,212418.00,18.00,972,#42A5F5,"0,2 M€",18 aides
Autres sections NAF,540559.00,70.00,972,#AAAAAA,"0,5 M€",70 aides
Commerce,1874737.00,64.00,973,#29B6F6,"1,9 M€",64 aides
Santé humaine et action sociale,1098749.00,8.00,973,#E53935,"1,1 M€",8 aides
"Activités spécialisées, scientifiques et techniques",223782.00,5.00,973,#FFA726,"0,2 M€",5 aides
Activités de services administratifs et de soutien,195478.00,10.00,973,#FF7043,"0,2 M€",10 aides
Non connu,185850.00,14.00,973,#AAAAAA,"0,2 M€",14 aides
Transports et entreposage,184487.00,6.00,973,#26C6DA,"0,2 M€",6 aides
Industrie manufacturière,93383.00,5.00,973,#AB47BC,"0,1 M€",5 aides
Activités financières et d'assurance,68618.00,3.00,973,#9CCC65,"0,1 M€",3 aides
Hébergement et restauration,59818.00,7.00,973,#26A69A,"0,1 M€",7 aides
Activités immobilières,34490.00,7.00,973,#FFCA28,"0,0 M€",7 aides
Commerce,4596224.00,102.00,28,#29B6F6,"4,6 M€",102 aides
Industrie manufacturière,2315377.00,62.00,28,#AB47BC,"2,3 M€",62 aides
Construction,672010.00,34.00,28,#42A5F5,"0,7 M€",34 aides
Hébergement et restauration,458251.00,62.00,28,#26A69A,"0,5 M€",62 aides
Transports et entreposage,300204.00,29.00,28,#26C6DA,"0,3 M€",29 aides
Activités financières et d'assurance,226780.00,17.00,28,#9CCC65,"0,2 M€",17 aides
Activités de services administratifs et de soutien,187489.00,16.00,28,#FF7043,"0,2 M€",16 aides
"Activités spécialisées, scientifiques et techniques",159253.00,21.00,28,#FFA726,"0,2 M€",21 aides
Activités immobilières,152133.00,22.00,28,#FFCA28,"0,2 M€",22 aides
Santé humaine et action sociale,103417.00,9.00,28,#E53935,"0,1 M€",9 aides
Autres sections NAF,218399.00,54.00,28,#AAAAAA,"0,2 M€",54 aides
Commerce,7340076.00,314.00,06,#29B6F6,"7,3 M€",314 aides
Transports et entreposage,5637272.00,57.00,06,#26C6DA,"5,6 M€",57 aides
Industrie manufacturière,4012833.00,78.00,06,#AB47BC,"4,0 M€",78 aides
Hébergement et restauration,3786953.00,274.00,06,#26A69A,"3,8 M€",274 aides
"Activités spécialisées, scientifiques et techniques",2314891.00,107.00,06,#FFA726,"2,3 M€",107 aides
Construction,1934228.00,120.00,06,#42A5F5,"1,9 M€",120 aides
Activités de services administratifs et de soutien,974348.00,63.00,06,#FF7043,"1,0 M€",63 aides
Information et communication,937609.00,26.00,06,#66BB6A,"0,9 M€",26 aides
Enseignement,750620.00,24.00,06,#00897B,"0,8 M€",24 aides
Activités immobilières,746862.00,87.00,06,#FFCA28,"0,7 M€",87 aides
Autres sections NAF,2432390.00,191.00,06,#AAAAAA,"2,4 M€",191 aides
Commerce,3520791.00,217.00,84,#29B6F6,"3,5 M€",217 aides
