libelle_section_naf,montant,nombre,reg,color,montant_fr,nombre_fr
Construction,440679278.00,3595.00,52,#42A5F5,"440,7 M€",3 595 aides
Hébergement et restauration,285122222.00,4055.00,52,#26A69A,"285,1 M€",4 055 aides
Activités de services administratifs et de soutien,149878542.00,900.00,52,#FF7043,"149,9 M€",900 aides
Santé humaine et action sociale,134090461.00,1935.00,52,#E53935,"134,1 M€",1 935 aides
Information et communication,117685054.00,540.00,52,#66BB6A,"117,7 M€",540 aides
"Arts, spectacles et activités récréatives",102714291.00,662.00,52,#8E24AA,"102,7 M€",662 aides
Autres sections NAF,330227717.00,4613.00,52,#AAAAAA,"330,2 M€",4 613 aides
Commerce,32809341.00,144.00,06,#29B6F6,"32,8 M€",144 aides
Construction,11726895.00,91.00,06,#42A5F5,"11,7 M€",91 aides
Industrie manufacturière,9600974.00,37.00,06,#AB47BC,"9,6 M€",37 aides
Transports et entreposage,9132400.00,38.00,06,#26C6DA,"9,1 M€",38 aides
Activités de services administratifs et de soutien,4230552.00,32.00,06,#FF7043,"4,2 M€",32 aides
"Activités spécialisées, scientifiques et techniques",2835424.00,41.00,06,#FFA726,"2,8 M€",41 aides
Hébergement et restauration,2485272.00,25.00,06,#26A69A,"2,5 M€",25 aides
Non connu,2012189.00,12.00,06,#AAAAAA,"2,0 M€",12 aides
Santé humaine et action sociale,1635994.00,26.00,06,#E53935,"1,6 M€",26 aides
Enseignement,1192500.00,17.00,06,#00897B,"1,2 M€",17 aides
Autres sections NAF,3576212.00,45.00,06,#AAAAAA,"3,6 M€",45 aides
Commerce,372774896.00,1838.00,04,#29B6F6,"372,8 M€",1 838 aides
Transports et entreposage,130650706.00,285.00,04,#26C6DA,"130,7 M€",285 aides
Construction,113322606.00,1014.00,04,#42A5F5,"113,3 M€",1 014 aides
"Activités spécialisées, scientifiques et techniques",109535476.00,500.00,04,#FFA726,"109,5 M€",500 aides
Industrie manufacturière,91759655.00,608.00,04,#AB47BC,"91,8 M€",608 aides
Hébergement et restauration,56950790.00,665.00,04,#26A69A,"57,0 M€",665 aides
Activités de services administratifs et de soutien,39244523.00,283.00,04,#FF7043,"39,2 M€",283 aides
Santé humaine et action sociale,39199445.00,612.00,04,#E53935,"39,2 M€",612 aides
Activités financières et d'assurance,37220215.00,92.00,04,#9CCC65,"37,2 M€",92 aides
"Agriculture, sylviculture et pêche",19309210.00,166.00,04,#EF5350,"19,3 M€",166 aides
Autres sections NAF,71721022.00,949.00,04,#AAAAAA,"71,7 M€",949 aides
Commerce,2662146662.00,14461.00,75,#29B6F6,"2662,1 M€",14 461 aides
Industrie manufacturière,1447886969.00,4682.00,75,#AB47BC,"1447,9 M€",4 682 aides
Construction,948847625.00,8772.00,75,#42A5F5,"948,8 M€",8 772 aides
Activités financières et d'assurance,878485328.00,1079.00,75,#9CCC65,"878,5 M€",1 079 aides
"Activités spécialisées, scientifiques et techniques",832223888.00,4488.00,75,#FFA726,"832,2 M€",4 488 aides
Hébergement et restauration,732592106.00,9058.00,75,#26A69A,"732,6 M€",9 058 aides
Activités de services administratifs et de soutien,420831496.00,2019.00,75,#FF7043,"420,8 M€",2 019 aides
"Agriculture, sylviculture et pêche",409955266.00,4630.00,75,#EF5350,"410,0 M€",4 630 aides
Transports et entreposage,245763666.00,1394.00,75,#26C6DA,"245,8 M€",1 394 aides
Santé humaine et action sociale,243845523.00,4559.00,75,#E53935,"243,8 M€",4 559 aides
Autres sections NAF,671398541.00,9023.00,75,#AAAAAA,"671,4 M€",9 023 aides
Commerce,886557849.00,5835.00,27,#29B6F6,"886,6 M€",5 835 aides
Industrie manufacturière,877625055.00,2245.00,27,#AB47BC,"877,6 M€",2 245 aides
