libelle_section_naf,montant,nombre,dep,color,montant_fr,nombre_fr
Industrie manufacturière,72751291.00,278.00,11,#AB47BC,"72,8 M€",278 aides
Construction,56595488.00,596.00,11,#42A5F5,"56,6 M€",596 aides
Hébergement et restauration,56237908.00,799.00,11,#26A69A,"56,2 M€",799 aides
Activités financières et d'assurance,26029284.00,62.00,11,#9CCC65,"26,0 M€",62 aides
"Agriculture, sylviculture et pêche",23758223.00,393.00,11,#EF5350,"23,8 M€",393 aides
Santé humaine et action sociale,17604100.00,296.00,11,#E53935,"17,6 M€",296 aides
"Activités spécialisées, scientifiques et techniques",16081383.00,236.00,11,#FFA726,"16,1 M€",236 aides
Activités de services administratifs et de soutien,12126005.00,129.00,11,#FF7043,"12,1 M€",129 aides
"Arts, spectacles et activités récréatives",8802553.00,95.00,11,#8E24AA,"8,8 M€",95 aides
Autres sections NAF,24280008.00,483.00,11,#AAAAAA,"24,3 M€",483 aides
Commerce,288423173.00,1309.00,49,#29B6F6,"288,4 M€",1 309 aides
Industrie manufacturière,247897738.00,557.00,49,#AB47BC,"247,9 M€",557 aides
Activités financières et d'assurance,117267491.00,109.00,49,#9CCC65,"117,3 M€",109 aides
Construction,106565446.00,807.00,49,#42A5F5,"106,6 M€",807 aides
"Activités spécialisées, scientifiques et techniques",84414633.00,447.00,49,#FFA726,"84,4 M€",447 aides
Hébergement et restauration,54660377.00,823.00,49,#26A69A,"54,7 M€",823 aides
Activités de services administratifs et de soutien,42737246.00,206.00,49,#FF7043,"42,7 M€",206 aides
"Agriculture, sylviculture et pêche",37304251.00,395.00,49,#EF5350,"37,3 M€",395 aides
Santé humaine et action sociale,25708882.00,397.00,49,#E53935,"25,7 M€",397 aides
"Arts, spectacles et activités récréatives",17788814.00,153.00,49,#8E24AA,"17,8 M€",153 aides
Autres sections NAF,56913384.00,853.00,49,#AAAAAA,"56,9 M€",853 aides
Commerce,266288002.00,1152.00,54,#29B6F6,"266,3 M€",1 152 aides
Industrie manufacturière,111644690.00,435.00,54,#AB47BC,"111,6 M€",435 aides
Construction,99748025.00,765.00,54,#42A5F5,"99,7 M€",765 aides
Activités financières et d'assurance,75479457.00,96.00,54,#9CCC65,"75,5 M€",96 aides
Hébergement et restauration,50975837.00,659.00,54,#26A69A,"51,0 M€",659 aides
"Activités spécialisées, scientifiques et techniques",50747070.00,420.00,54,#FFA726,"50,7 M€",420 aides
Santé humaine et action sociale,43551372.00,502.00,54,#E53935,"43,6 M€",502 aides
Transports et entreposage,31119541.00,148.00,54,#26C6DA,"31,1 M€",148 aides
Information et communication,23530501.00,97.00,54,#66BB6A,"23,5 M€",97 aides
Activités de services administratifs et de soutien,16913183.00,159.00,54,#FF7043,"16,9 M€",159 aides
Autres sections NAF,48686093.00,761.00,54,#AAAAAA,"48,7 M€",761 aides
Commerce,1846440920.00,4096.00,59,#29B6F6,"1846,4 M€",4 096 aides
Activités financières et d'assurance,530430754.00,361.00,59,#9CCC65,"530,4 M€",361 aides
Industrie manufacturière,510344894.00,1301.00,59,#AB47BC,"510,3 M€",1 301 aides
Construction,366560511.00,2360.00,59,#42A5F5,"366,6 M€",2 360 aides
"Activités spécialisées, scientifiques et techniques",322059303.00,1913.00,59,#FFA726,"322,1 M€",1 913 aides
Activités de services administratifs et de soutien,252588080.00,617.00,59,#FF7043,"252,6 M€",617 aides
Hébergement et restauration,201016550.00,2769.00,59,#26A69A,"201,0 M€",2 769 aides
Transports et entreposage,172889614.00,555.00,59,#26C6DA,"172,9 M€",555 aides
Information et communication,113374998.00,512.00,59,#66BB6A,"113,4 M€",512 aides
Santé humaine et action sociale,96763687.00,1710.00,59,#E53935,"96,8 M€",1 710 aides
Autres sections NAF,200397909.00,2800.00,59,#AAAAAA,"200,4 M€",2 800 aides
Industrie manufacturière,50457950.00,111.00,55,#AB47BC,"50,5 M€",111 aides
Commerce,45374858.00,237.00,55,#29B6F6,"45,4 M€",237 aides
Construction,14725543.00,175.00,55,#42A5F5,"14,7 M€",175 aides
Hébergement et restauration,7417970.00,146.00,55,#26A69A,"7,4 M€",146 aides
Activités financières et d'assurance,4971536.00,13.00,55,#9CCC65,"5,0 M€",13 aides
"Activités spécialisées, scientifiques et techniques",4044600.00,52.00,55,#FFA726,"4,0 M€",52 aides
Santé humaine et action sociale,3898085.00,63.00,55,#E53935,"3,9 M€",63 aides
Transports et entreposage,3896000.00,38.00,55,#26C6DA,"3,9 M€",38 aides
Activités de services administratifs et de soutien,3520935.00,25.00,55,#FF7043,"3,5 M€",25 aides
"Agriculture, sylviculture et pêche",3406420.00,60.00,55,#EF5350,"3,4 M€",60 aides
Autres sections NAF,4405412.00,133.00,55,#AAAAAA,"4,4 M€",133 aides
Commerce,216360468.00,1391.00,14,#29B6F6,"216,4 M€",1 391 aides
Industrie manufacturière,122988130.00,406.00,14,#AB47BC,"123,0 M€",406 aides
Hébergement et restauration,94773031.00,1148.00,14,#26A69A,"94,8 M€",1 148 aides
Activités financières et d'assurance,73660880.00,87.00,14,#9CCC65,"73,7 M€",87 aides
Construction,72846729.00,756.00,14,#42A5F5,"72,8 M€",756 aides
"Activités spécialisées, scientifiques et techniques",39097186.00,399.00,14,#FFA726,"39,1 M€",399 aides
"Arts, spectacles et activités récréatives",25778465.00,197.00,14,#8E24AA,"25,8 M€",197 aides
Activités de services administratifs et de soutien,20976588.00,206.00,14,#FF7043,"21,0 M€",206 aides
Transports et entreposage,20827121.00,108.00,14,#26C6DA,"20,8 M€",108 aides
"Prod./dist. eau, assainissement, déchets, dépollution",20604000.00,9.00,14,#5C6BC0,"20,6 M€",9 aides
Autres sections NAF,76383777.00,1296.00,14,#AAAAAA,"76,4 M€",1 296 aides
Commerce,358422826.00,2012.00,42,#29B6F6,"358,4 M€",2 012 aides
Industrie manufacturière,349677552.00,1000.00,42,#AB47BC,"349,7 M€",1 000 aides
Construction,124564382.00,1238.00,42,#42A5F5,"124,6 M€",1 238 aides
"Activités spécialisées, scientifiques et techniques",66031776.00,577.00,42,#FFA726,"66,0 M€",577 aides
Activités financières et d'assurance,57900376.00,140.00,42,#9CCC65,"57,9 M€",140 aides
Hébergement et restauration,57854386.00,959.00,42,#26A69A,"57,9 M€",959 aides
Activités de services administratifs et de soutien,31097791.00,280.00,42,#FF7043,"31,1 M€",280 aides
Santé humaine et action sociale,30766856.00,473.00,42,#E53935,"30,8 M€",473 aides
Transports et entreposage,27338290.00,209.00,42,#26C6DA,"27,3 M€",209 aides
Information et communication,18554926.00,109.00,42,#66BB6A,"18,6 M€",109 aides
Autres sections NAF,55565002.00,1102.00,42,#AAAAAA,"55,6 M€",1 102 aides
Commerce,227145471.00,615.00,10,#29B6F6,"227,1 M€",615 aides
Industrie manufacturière,116794954.00,298.00,10,#AB47BC,"116,8 M€",298 aides
Construction,39088662.00,398.00,10,#42A5F5,"39,1 M€",398 aides
Activités financières et d'assurance,26926657.00,45.00,10,#9CCC65,"26,9 M€",45 aides
Hébergement et restauration,24284714.00,357.00,10,#26A69A,"24,3 M€",357 aides
"Agriculture, sylviculture et pêche",22291145.00,275.00,10,#EF5350,"22,3 M€",275 aides
"Activités spécialisées, scientifiques et techniques",16491467.00,160.00,10,#FFA726,"16,5 M€",160 aides
Transports et entreposage,9896265.00,84.00,10,#26C6DA,"9,9 M€",84 aides
