libelle_section_naf,montant,nombre,nombre_siren,dep,color,montant_fr,nombre_fr,nombre_siren_fr
Hébergement et restauration,21014066.42,8191,1929,26,#26A69A,"21,0 M€",8 191 aides,1 929 entreprises
Autres activités de services,9490687.00,5870,1773,26,#5E35B1,"9,5 M€",5 870 aides,1 773 entreprises
Construction,7834583.00,5249,2350,26,#42A5F5,"7,8 M€",5 249 aides,2 350 entreprises
"Arts, spectacles et activités récréatives",6518911.00,3972,883,26,#8E24AA,"6,5 M€",3 972 aides,883 entreprises
"Activités spécialisées, scientifiques et techniques",6343760.00,3793,1310,26,#FFA726,"6,3 M€",3 793 aides,1 310 entreprises
Santé humaine et action sociale,4892197.00,3754,1616,26,#E53935,"4,9 M€",3 754 aides,1 616 entreprises
Enseignement,4434858.00,3112,829,26,#00897B,"4,4 M€",3 112 aides,829 entreprises
Industrie manufacturière,3966924.00,2778,981,26,#AB47BC,"4,0 M€",2 778 aides,981 entreprises
Activités de services administratifs et de soutien,3162892.00,1943,644,26,#FF7043,"3,2 M€",1 943 aides,644 entreprises
Autres sections NAF,7955755.00,4711,1611,26,#AAAAAA,"8,0 M€",4 711 aides,1 611 entreprises
Commerce,12346992.00,6369,2175,27,#29B6F6,"12,3 M€",6 369 aides,2 175 entreprises
Autres activités de services,8894332.35,5247,1572,27,#5E35B1,"8,9 M€",5 247 aides,1 572 entreprises
Hébergement et restauration,12962311.54,5082,1169,27,#26A69A,"13,0 M€",5 082 aides,1 169 entreprises
Construction,5867304.00,3867,1760,27,#42A5F5,"5,9 M€",3 867 aides,1 760 entreprises
"Activités spécialisées, scientifiques et techniques",4828935.00,2664,872,27,#FFA726,"4,8 M€",2 664 aides,872 entreprises
"Arts, spectacles et activités récréatives",3810654.00,2253,506,27,#8E24AA,"3,8 M€",2 253 aides,506 entreprises
Enseignement,2841350.00,1793,463,27,#00897B,"2,8 M€",1 793 aides,463 entreprises
Santé humaine et action sociale,2334191.00,1787,803,27,#E53935,"2,3 M€",1 787 aides,803 entreprises
Industrie manufacturière,2074387.00,1443,507,27,#AB47BC,"2,1 M€",1 443 aides,507 entreprises
Activités de services administratifs et de soutien,2390167.00,1401,459,27,#FF7043,"2,4 M€",1 401 aides,459 entreprises
Autres sections NAF,6245677.04,3600,1185,27,#AAAAAA,"6,2 M€",3 600 aides,1 185 entreprises
Commerce,8352735.00,4159,1448,28,#29B6F6,"8,4 M€",4 159 aides,1 448 entreprises
Hébergement et restauration,8791045.29,3434,792,28,#26A69A,"8,8 M€",3 434 aides,792 entreprises
Autres activités de services,5608439.00,3237,990,28,#5E35B1,"5,6 M€",3 237 aides,990 entreprises
Construction,3972448.00,2617,1212,28,#42A5F5,"4,0 M€",2 617 aides,1 212 entreprises
"Activités spécialisées, scientifiques et techniques",2651488.00,1612,563,28,#FFA726,"2,7 M€",1 612 aides,563 entreprises
Transports et entreposage,2747412.00,1575,370,28,#26C6DA,"2,7 M€",1 575 aides,370 entreprises
"Arts, spectacles et activités récréatives",2839984.00,1530,370,28,#8E24AA,"2,8 M€",1 530 aides,370 entreprises
Santé humaine et action sociale,1714591.00,1290,590,28,#E53935,"1,7 M€",1 290 aides,590 entreprises
Enseignement,2073871.00,1276,360,28,#00897B,"2,1 M€",1 276 aides,360 entreprises
Activités de services administratifs et de soutien,1980913.00,1182,407,28,#FF7043,"2,0 M€",1 182 aides,407 entreprises
Autres sections NAF,4288188.00,2615,934,28,#AAAAAA,"4,3 M€",2 615 aides,934 entreprises
Hébergement et restauration,31357320.66,11778,2884,29,#26A69A,"31,4 M€",11 778 aides,2 884 entreprises
Commerce,20309969.00,9507,3241,29,#29B6F6,"20,3 M€",9 507 aides,3 241 entreprises
Autres activités de services,13152196.00,7284,2247,29,#5E35B1,"13,2 M€",7 284 aides,2 247 entreprises
Construction,7325258.00,5042,2539,29,#42A5F5,"7,3 M€",5 042 aides,2 539 entreprises
Santé humaine et action sociale,6519011.00,4823,2293,29,#E53935,"6,5 M€",4 823 aides,2 293 entreprises
"Activités spécialisées, scientifiques et techniques",7786336.34,4272,1538,29,#FFA726,"7,8 M€",4 272 aides,1 538 entreprises
"Arts, spectacles et activités récréatives",7087036.83,4089,985,29,#8E24AA,"7,1 M€",4 089 aides,985 entreprises
Enseignement,4540593.00,2948,814,29,#00897B,"4,5 M€",2 948 aides,814 entreprises
Industrie manufacturière,4198531.00,2941,1107,29,#AB47BC,"4,2 M€",2 941 aides,1 107 entreprises
Activités de services administratifs et de soutien,3131247.86,1983,733,29,#FF7043,"3,1 M€",1 983 aides,733 entreprises
Autres sections NAF,9242061.00,5649,2021,29,#AAAAAA,"9,2 M€",5 649 aides,2 021 entreprises
Hébergement et restauration,14150912.73,5014,1250,2A,#26A69A,"14,2 M€",5 014 aides,1 250 entreprises
Commerce,8056695.00,3681,1121,2A,#29B6F6,"8,1 M€",3 681 aides,1 121 entreprises
Construction,4324100.00,2870,1203,2A,#42A5F5,"4,3 M€",2 870 aides,1 203 entreprises
"Activités spécialisées, scientifiques et techniques",6169820.00,2812,871,2A,#FFA726,"6,2 M€",2 812 aides,871 entreprises
Autres activités de services,3232174.00,1984,593,2A,#5E35B1,"3,2 M€",1 984 aides,593 entreprises
Activités de services administratifs et de soutien,2605080.00,1585,470,2A,#FF7043,"2,6 M€",1 585 aides,470 entreprises
"Agriculture, sylviculture et pêche",1960905.00,1317,465,2A,#EF5350,"2,0 M€",1 317 aides,465 entreprises
Industrie manufacturière,1886643.00,1161,380,2A,#AB47BC,"1,9 M€",1 161 aides,380 entreprises
Activités immobilières,2010409.00,1096,335,2A,#FFCA28,"2,0 M€",1 096 aides,335 entreprises
Santé humaine et action sociale,1320043.00,977,443,2A,#E53935,"1,3 M€",977 aides,443 entreprises
Autres sections NAF,5600984.82,2943,756,2A,#AAAAAA,"5,6 M€",2 943 aides,756 entreprises
Hébergement et restauration,15340607.13,5804,1252,2B,#26A69A,"15,3 M€",5 804 aides,1 252 entreprises
Commerce,9750629.00,4280,1306,2B,#29B6F6,"9,8 M€",4 280 aides,1 306 entreprises
Construction,4230829.00,2797,1139,2B,#42A5F5,"4,2 M€",2 797 aides,1 139 entreprises
"Activités spécialisées, scientifiques et techniques",5760296.00,2577,808,2B,#FFA726,"5,8 M€",2 577 aides,808 entreprises
Autres activités de services,3635880.25,2233,645,2B,#5E35B1,"3,6 M€",2 233 aides,645 entreprises
"Agriculture, sylviculture et pêche",3125520.00,1956,605,2B,#EF5350,"3,1 M€",1 956 aides,605 entreprises
Industrie manufacturière,2517824.00,1580,478,2B,#AB47BC,"2,5 M€",1 580 aides,478 entreprises
Activités de services administratifs et de soutien,2266584.00,1374,379,2B,#FF7043,"2,3 M€",1 374 aides,379 entreprises
"Arts, spectacles et activités récréatives",2349354.00,1312,264,2B,#8E24AA,"2,3 M€",1 312 aides,264 entreprises
Santé humaine et action sociale,1396293.00,1037,461,2B,#E53935,"1,4 M€",1 037 aides,461 entreprises
Autres sections NAF,4671737.00,2773,767,2B,#AAAAAA,"4,7 M€",2 773 aides,767 entreprises
Commerce,28830850.00,15513,4884,30,#29B6F6,"28,8 M€",15 513 aides,4 884 entreprises
Hébergement et restauration,30599199.81,12093,2743,30,#26A69A,"30,6 M€",12 093 aides,2 743 entreprises
Construction,13858266.00,9406,3985,30,#42A5F5,"13,9 M€",9 406 aides,3 985 entreprises
Autres activités de services,13547401.00,9037,2697,30,#5E35B1,"13,5 M€",9 037 aides,2 697 entreprises
"Activités spécialisées, scientifiques et techniques",11244294.00,6426,2128,30,#FFA726,"11,2 M€",6 426 aides,2 128 entreprises
"Arts, spectacles et activités récréatives",9771834.77,5906,1251,30,#8E24AA,"9,8 M€",5 906 aides,1 251 entreprises
Santé humaine et action sociale,5415487.00,4066,1867,30,#E53935,"5,4 M€",4 066 aides,1 867 entreprises
Industrie manufacturière,5547738.00,3850,1297,30,#AB47BC,"5,5 M€",3 850 aides,1 297 entreprises
Enseignement,5339348.00,3745,1001,30,#00897B,"5,3 M€",3 745 aides,1 001 entreprises
Activités de services administratifs et de soutien,5375904.00,3152,1055,30,#FF7043,"5,4 M€",3 152 aides,1 055 entreprises
Autres sections NAF,12639189.00,7434,2394,30,#AAAAAA,"12,6 M€",7 434 aides,2 394 entreprises
Commerce,42095482.00,21282,6751,31,#29B6F6,"42,1 M€",21 282 aides,6 751 entreprises
Hébergement et restauration,49176053.10,17531,3846,31,#26A69A,"49,2 M€",17 531 aides,3 846 entreprises
"Activités spécialisées, scientifiques et techniques",26988653.06,15947,5351,31,#FFA726,"27,0 M€",15 947 aides,5 351 entreprises
Construction,22417648.00,14582,5919,31,#42A5F5,"22,4 M€",14 582 aides,5 919 entreprises
Autres activités de services,23369327.00,14049,4227,31,#5E35B1,"23,4 M€",14 049 aides,4 227 entreprises
Santé humaine et action sociale,16421153.00,12340,5650,31,#E53935,"16,4 M€",12 340 aides,5 650 entreprises
Transports et entreposage,20442158.00,11369,2475,31,#26C6DA,"20,4 M€",11 369 aides,2 475 entreprises
"Arts, spectacles et activités récréatives",18862033.93,10607,2262,31,#8E24AA,"18,9 M€",10 607 aides,2 262 entreprises
Enseignement,12003662.00,8857,2442,31,#00897B,"12,0 M€",8 857 aides,2 442 entreprises
Activités de services administratifs et de soutien,11769391.52,6655,2061,31,#FF7043,"11,8 M€",6 655 aides,2 061 entreprises
Autres sections NAF,22340445.87,13809,4825,31,#AAAAAA,"22,3 M€",13 809 aides,4 825 entreprises
Hébergement et restauration,7177841.06,3146,673,32,#26A69A,"7,2 M€",3 146 aides,673 entreprises
Commerce,5243830.00,2771,983,32,#29B6F6,"5,2 M€",2 771 aides,983 entreprises
Autres activités de services,3175464.00,2039,605,32,#5E35B1,"3,2 M€",2 039 aides,605 entreprises
Construction,2864268.00,2015,932,32,#42A5F5,"2,9 M€",2 015 aides,932 entreprises
"Agriculture, sylviculture et pêche",1891504.00,1234,520,32,#EF5350,"1,9 M€",1 234 aides,520 entreprises
"Activités spécialisées, scientifiques et techniques",1978430.00,1168,414,32,#FFA726,"2,0 M€",1 168 aides,414 entreprises
"Arts, spectacles et activités récréatives",1640797.95,1040,238,32,#8E24AA,"1,6 M€",1 040 aides,238 entreprises
Santé humaine et action sociale,1313314.00,999,452,32,#E53935,"1,3 M€",999 aides,452 entreprises
Enseignement,1169131.00,839,225,32,#00897B,"1,2 M€",839 aides,225 entreprises
Industrie manufacturière,1164789.00,824,296,32,#AB47BC,"1,2 M€",824 aides,296 entreprises
Autres sections NAF,2794410.00,1767,596,32,#AAAAAA,"2,8 M€",1 767 aides,596 entreprises
Commerce,54910655.00,28105,9209,33,#29B6F6,"54,9 M€",28 105 aides,9 209 entreprises
Hébergement et restauration,51999767.58,19633,4577,33,#26A69A,"52,0 M€",19 633 aides,4 577 entreprises
"Activités spécialisées, scientifiques et techniques",32367703.88,18954,6516,33,#FFA726,"32,4 M€",18 954 aides,6 516 entreprises
Autres activités de services,30499263.44,18419,5661,33,#5E35B1,"30,5 M€",18 419 aides,5 661 entreprises
Construction,25075040.00,15968,7032,33,#42A5F5,"25,1 M€",15 968 aides,7 032 entreprises
Santé humaine et action sociale,17870612.00,13434,6075,33,#E53935,"17,9 M€",13 434 aides,6 075 entreprises
"Arts, spectacles et activités récréatives",20372149.54,11633,2527,33,#8E24AA,"20,4 M€",11 633 aides,2 527 entreprises
Transports et entreposage,20184630.79,11001,2467,33,#26C6DA,"20,2 M€",11 001 aides,2 467 entreprises
Enseignement,12773324.00,8928,2361,33,#00897B,"12,8 M€",8 928 aides,2 361 entreprises
Activités de services administratifs et de soutien,14787333.00,8485,2500,33,#FF7043,"14,8 M€",8 485 aides,2 500 entreprises
Autres sections NAF,35228505.50,20670,7473,33,#AAAAAA,"35,2 M€",20 670 aides,7 473 entreprises
Commerce,45096794.00,24385,7600,34,#29B6F6,"45,1 M€",24 385 aides,7 600 entreprises
Hébergement et restauration,57256973.62,20901,4712,34,#26A69A,"57,3 M€",20 901 aides,4 712 entreprises
Construction,23045758.07,15617,6416,34,#42A5F5,"23,0 M€",15 617 aides,6 416 entreprises
"Activités spécialisées, scientifiques et techniques",25613380.00,14626,4865,34,#FFA726,"25,6 M€",14 626 aides,4 865 entreprises
Autres activités de services,21502725.37,13854,4107,34,#5E35B1,"21,5 M€",13 854 aides,4 107 entreprises
"Arts, spectacles et activités récréatives",18398618.04,10252,2142,34,#8E24AA,"18,4 M€",10 252 aides,2 142 entreprises
Santé humaine et action sociale,13343821.00,9951,4563,34,#E53935,"13,3 M€",9 951 aides,4 563 entreprises
Enseignement,10693918.97,7751,2098,34,#00897B,"10,7 M€",7 751 aides,2 098 entreprises
Activités de services administratifs et de soutien,11044739.00,6542,2059,34,#FF7043,"11,0 M€",6 542 aides,2 059 entreprises
Transports et entreposage,9292294.00,5423,1329,34,#26C6DA,"9,3 M€",5 423 aides,1 329 entreprises
Autres sections NAF,28577800.25,17766,5997,34,#AAAAAA,"28,6 M€",17 766 aides,5 997 entreprises
Hébergement et restauration,32639717.38,11482,2728,35,#26A69A,"32,6 M€",11 482 aides,2 728 entreprises
Commerce,23247423.00,10756,3703,35,#29B6F6,"23,2 M€",10 756 aides,3 703 entreprises
Autres activités de services,14850487.24,8168,2497,35,#5E35B1,"14,9 M€",8 168 aides,2 497 entreprises
"Activités spécialisées, scientifiques et techniques",14038199.71,7834,2743,35,#FFA726,"14,0 M€",7 834 aides,2 743 entreprises
Santé humaine et action sociale,9135667.00,6748,3139,35,#E53935,"9,1 M€",6 748 aides,3 139 entreprises
"Arts, spectacles et activités récréatives",9912032.65,5620,1341,35,#8E24AA,"9,9 M€",5 620 aides,1 341 entreprises
Construction,7571541.00,5037,2399,35,#42A5F5,"7,6 M€",5 037 aides,2 399 entreprises
Enseignement,5659702.00,3509,978,35,#00897B,"5,7 M€",3 509 aides,978 entreprises
Transports et entreposage,5230089.00,2934,740,35,#26C6DA,"5,2 M€",2 934 aides,740 entreprises
Industrie manufacturière,4000071.00,2863,1054,35,#AB47BC,"4,0 M€",2 863 aides,1 054 entreprises
Autres sections NAF,13536280.66,7870,2638,35,#AAAAAA,"13,5 M€",7 870 aides,2 638 entreprises
Hébergement et restauration,6161348.00,2581,581,36,#26A69A,"6,2 M€",2 581 aides,581 entreprises
Commerce,4520759.00,2237,758,36,#29B6F6,"4,5 M€",2 237 aides,758 entreprises
Autres activités de services,3137790.00,1815,563,36,#5E35B1,"3,1 M€",1 815 aides,563 entreprises
Construction,1735379.00,1181,576,36,#42A5F5,"1,7 M€",1 181 aides,576 entreprises
"Arts, spectacles et activités récréatives",1725625.00,1041,209,36,#8E24AA,"1,7 M€",1 041 aides,209 entreprises
"Activités spécialisées, scientifiques et techniques",1466054.00,785,276,36,#FFA726,"1,5 M€",785 aides,276 entreprises
Industrie manufacturière,984931.00,678,239,36,#AB47BC,"1,0 M€",678 aides,239 entreprises
Santé humaine et action sociale,783187.00,616,275,36,#E53935,"0,8 M€",616 aides,275 entreprises
Enseignement,926114.00,580,146,36,#00897B,"0,9 M€",580 aides,146 entreprises
Activités de services administratifs et de soutien,832615.00,506,175,36,#FF7043,"0,8 M€",506 aides,175 entreprises
Autres sections NAF,1824777.00,1188,442,36,#AAAAAA,"1,8 M€",1 188 aides,442 entreprises
Hébergement et restauration,19949568.68,7239,1650,37,#26A69A,"19,9 M€",7 239 aides,1 650 entreprises
Commerce,12433291.00,6291,2128,37,#29B6F6,"12,4 M€",6 291 aides,2 128 entreprises
Autres activités de services,9368850.00,5418,1634,37,#5E35B1,"9,4 M€",5 418 aides,1 634 entreprises
"Activités spécialisées, scientifiques et techniques",7120390.00,4105,1364,37,#FFA726,"7,1 M€",4 105 aides,1 364 entreprises
Construction,6077754.00,4048,1867,37,#42A5F5,"6,1 M€",4 048 aides,1 867 entreprises
"Arts, spectacles et activités récréatives",6476267.48,3605,829,37,#8E24AA,"6,5 M€",3 605 aides,829 entreprises
Santé humaine et action sociale,4275957.00,3255,1486,37,#E53935,"4,3 M€",3 255 aides,1 486 entreprises
Enseignement,3554909.00,2441,713,37,#00897B,"3,6 M€",2 441 aides,713 entreprises
Transports et entreposage,3818974.00,2060,554,37,#26C6DA,"3,8 M€",2 060 aides,554 entreprises
Industrie manufacturière,2984990.00,2030,723,37,#AB47BC,"3,0 M€",2 030 aides,723 entreprises
Autres sections NAF,10403555.00,6171,2063,37,#AAAAAA,"10,4 M€",6 171 aides,2 063 entreprises
Hébergement et restauration,46936005.38,17110,3803,38,#26A69A,"46,9 M€",17 110 aides,3 803 entreprises
Commerce,31884691.00,15714,5261,38,#29B6F6,"31,9 M€",15 714 aides,5 261 entreprises
Construction,18620532.00,12291,5402,38,#42A5F5,"18,6 M€",12 291 aides,5 402 entreprises
Autres activités de services,20263722.00,11923,3543,38,#5E35B1,"20,3 M€",11 923 aides,3 543 entreprises
"Activités spécialisées, scientifiques et techniques",16542212.11,9681,3333,38,#FFA726,"16,5 M€",9 681 aides,3 333 entreprises
Enseignement,13769819.00,9239,2570,38,#00897B,"13,8 M€",9 239 aides,2 570 entreprises
Santé humaine et action sociale,11468672.00,8549,3900,38,#E53935,"11,5 M€",8 549 aides,3 900 entreprises
"Arts, spectacles et activités récréatives",14235083.54,7983,1742,38,#8E24AA,"14,2 M€",7 983 aides,1 742 entreprises
Activités de services administratifs et de soutien,8728381.00,4972,1645,38,#FF7043,"8,7 M€",4 972 aides,1 645 entreprises
Transports et entreposage,8541973.00,4639,1131,38,#26C6DA,"8,5 M€",4 639 aides,1 131 entreprises
Autres sections NAF,18240580.00,11625,4109,38,#AAAAAA,"18,2 M€",11 625 aides,4 109 entreprises
Hébergement et restauration,8427687.00,3313,799,39,#26A69A,"8,4 M€",3 313 aides,799 entreprises
Commerce,6495356.00,3154,1074,39,#29B6F6,"6,5 M€",3 154 aides,1 074 entreprises
Autres activités de services,4149082.00,2424,720,39,#5E35B1,"4,1 M€",2 424 aides,720 entreprises
Construction,2319212.00,1571,735,39,#42A5F5,"2,3 M€",1 571 aides,735 entreprises
"Arts, spectacles et activités récréatives",2215699.00,1368,311,39,#8E24AA,"2,2 M€",1 368 aides,311 entreprises
"Activités spécialisées, scientifiques et techniques",2173286.00,1151,401,39,#FFA726,"2,2 M€",1 151 aides,401 entreprises
Santé humaine et action sociale,1468129.00,1128,507,39,#E53935,"1,5 M€",1 128 aides,507 entreprises
Enseignement,1493005.00,1026,296,39,#00897B,"1,5 M€",1 026 aides,296 entreprises
Industrie manufacturière,1398024.00,999,388,39,#AB47BC,"1,4 M€",999 aides,388 entreprises
"Agriculture, sylviculture et pêche",1139841.00,696,276,39,#EF5350,"1,1 M€",696 aides,276 entreprises
Autres sections NAF,2639885.00,1588,555,39,#AAAAAA,"2,6 M€",1 588 aides,555 entreprises
Commerce,13680918.00,6985,2309,40,#29B6F6,"13,7 M€",6 985 aides,2 309 entreprises
Hébergement et restauration,15185814.12,6019,1479,40,#26A69A,"15,2 M€",6 019 aides,1 479 entreprises
Autres activités de services,7762147.00,4853,1503,40,#5E35B1,"7,8 M€",4 853 aides,1 503 entreprises
Construction,5388368.00,3584,1737,40,#42A5F5,"5,4 M€",3 584 aides,1 737 entreprises
"Activités spécialisées, scientifiques et techniques",5938050.00,3275,1123,40,#FFA726,"5,9 M€",3 275 aides,1 123 entreprises
Santé humaine et action sociale,4198714.00,3138,1373,40,#E53935,"4,2 M€",3 138 aides,1 373 entreprises
"Arts, spectacles et activités récréatives",4696929.71,2700,611,40,#8E24AA,"4,7 M€",2 700 aides,611 entreprises
Enseignement,3335314.00,2337,646,40,#00897B,"3,3 M€",2 337 aides,646 entreprises
Industrie manufacturière,2495123.00,1738,619,40,#AB47BC,"2,5 M€",1 738 aides,619 entreprises
Activités de services administratifs et de soutien,2765561.00,1732,645,40,#FF7043,"2,8 M€",1 732 aides,645 entreprises
Autres sections NAF,6130558.00,3769,1372,40,#AAAAAA,"6,1 M€",3 769 aides,1 372 entreprises
Hébergement et restauration,10238026.00,4357,1020,41,#26A69A,"10,2 M€",4 357 aides,1 020 entreprises
Commerce,7885273.00,4022,1389,41,#29B6F6,"7,9 M€",4 022 aides,1 389 entreprises
Autres activités de services,4918351.00,2787,828,41,#5E35B1,"4,9 M€",2 787 aides,828 entreprises
Construction,3259761.00,2136,1051,41,#42A5F5,"3,3 M€",2 136 aides,1 051 entreprises
"Arts, spectacles et activités récréatives",2557373.00,1463,334,41,#8E24AA,"2,6 M€",1 463 aides,334 entreprises
"Activités spécialisées, scientifiques et techniques",2606384.00,1454,510,41,#FFA726,"2,6 M€",1 454 aides,510 entreprises
Santé humaine et action sociale,1578958.00,1215,552,41,#E53935,"1,6 M€",1 215 aides,552 entreprises
Enseignement,1490636.00,884,243,41,#00897B,"1,5 M€",884 aides,243 entreprises
Industrie manufacturière,1228698.00,882,338,41,#AB47BC,"1,2 M€",882 aides,338 entreprises
Activités immobilières,1074913.00,742,258,41,#FFCA28,"1,1 M€",742 aides,258 entreprises
Autres sections NAF,4406174.00,2444,854,41,#AAAAAA,"4,4 M€",2 444 aides,854 entreprises
Commerce,21991321.00,11159,3675,42,#29B6F6,"22,0 M€",11 159 aides,3 675 entreprises
Hébergement et restauration,25031822.14,9362,2026,42,#26A69A,"25,0 M€",9 362 aides,2 026 entreprises
Autres activités de services,12453381.00,7428,2156,42,#5E35B1,"12,5 M€",7 428 aides,2 156 entreprises
Construction,10225230.00,6798,2945,42,#42A5F5,"10,2 M€",6 798 aides,2 945 entreprises
"Arts, spectacles et activités récréatives",7524505.73,4035,925,42,#8E24AA,"7,5 M€",4 035 aides,925 entreprises
"Activités spécialisées, scientifiques et techniques",6830161.00,4014,1382,42,#FFA726,"6,8 M€",4 014 aides,1 382 entreprises
Santé humaine et action sociale,5122930.00,3821,1750,42,#E53935,"5,1 M€",3 821 aides,1 750 entreprises
Enseignement,4273010.00,2915,789,42,#00897B,"4,3 M€",2 915 aides,789 entreprises
Industrie manufacturière,3957562.00,2556,977,42,#AB47BC,"4,0 M€",2 556 aides,977 entreprises
Transports et entreposage,3713818.00,2153,551,42,#26C6DA,"3,7 M€",2 153 aides,551 entreprises
Autres sections NAF,9982877.96,5998,2168,42,#AAAAAA,"10,0 M€",5 998 aides,2 168 entreprises
Hébergement et restauration,9621133.00,4033,885,43,#26A69A,"9,6 M€",4 033 aides,885 entreprises
Commerce,6205602.00,3033,1014,43,#29B6F6,"6,2 M€",3 033 aides,1 014 entreprises
Autres activités de services,3396010.00,2175,641,43,#5E35B1,"3,4 M€",2 175 aides,641 entreprises
Construction,2697450.00,1862,877,43,#42A5F5,"2,7 M€",1 862 aides,877 entreprises
Santé humaine et action sociale,1441685.00,1103,490,43,#E53935,"1,4 M€",1 103 aides,490 entreprises
"Arts, spectacles et activités récréatives",1744344.92,1100,249,43,#8E24AA,"1,7 M€",1 100 aides,249 entreprises
Industrie manufacturière,1590259.00,1032,400,43,#AB47BC,"1,6 M€",1 032 aides,400 entreprises
"Agriculture, sylviculture et pêche",1449062.00,970,443,43,#EF5350,"1,4 M€",970 aides,443 entreprises
"Activités spécialisées, scientifiques et techniques",1620467.00,954,354,43,#FFA726,"1,6 M€",954 aides,354 entreprises
Enseignement,1236280.00,815,224,43,#00897B,"1,2 M€",815 aides,224 entreprises
Autres sections NAF,2596288.00,1503,529,43,#AAAAAA,"2,6 M€",1 503 aides,529 entreprises
Commerce,32220498.00,15580,5294,44,#29B6F6,"32,2 M€",15 580 aides,5 294 entreprises
Hébergement et restauration,38456498.01,14129,3409,44,#26A69A,"38,5 M€",14 129 aides,3 409 entreprises
"Activités spécialisées, scientifiques et techniques",22453042.44,12955,4484,44,#FFA726,"22,5 M€",12 955 aides,4 484 entreprises
Autres activités de services,21616640.00,11930,3735,44,#5E35B1,"21,6 M€",11 930 aides,3 735 entreprises
Santé humaine et action sociale,13579718.00,10287,4690,44,#E53935,"13,6 M€",10 287 aides,4 690 entreprises
"Arts, spectacles et activités récréatives",15251148.14,9169,2164,44,#8E24AA,"15,3 M€",9 169 aides,2 164 entreprises
Construction,12230221.00,8048,3866,44,#42A5F5,"12,2 M€",8 048 aides,3 866 entreprises
Transports et entreposage,12856283.00,6377,1310,44,#26C6DA,"12,9 M€",6 377 aides,1 310 entreprises
Enseignement,8288349.00,5477,1562,44,#00897B,"8,3 M€",5 477 aides,1 562 entreprises
Activités de services administratifs et de soutien,7359420.00,3991,1348,44,#FF7043,"7,4 M€",3 991 aides,1 348 entreprises
Autres sections NAF,20852459.00,13145,4757,44,#AAAAAA,"20,9 M€",13 145 aides,4 757 entreprises
Commerce,14444344.33,7636,2565,45,#29B6F6,"14,4 M€",7 636 aides,2 565 entreprises
Hébergement et restauration,15446708.81,5723,1324,45,#26A69A,"15,4 M€",5 723 aides,1 324 entreprises
Autres activités de services,9720075.00,5539,1690,45,#5E35B1,"9,7 M€",5 539 aides,1 690 entreprises
Construction,6694527.00,4411,1976,45,#42A5F5,"6,7 M€",4 411 aides,1 976 entreprises
"Arts, spectacles et activités récréatives",6085121.00,3297,726,45,#8E24AA,"6,1 M€",3 297 aides,726 entreprises
"Activités spécialisées, scientifiques et techniques",5881576.00,3256,1133,45,#FFA726,"5,9 M€",3 256 aides,1 133 entreprises
Santé humaine et action sociale,3315935.00,2504,1180,45,#E53935,"3,3 M€",2 504 aides,1 180 entreprises
Transports et entreposage,3641613.00,1977,551,45,#26C6DA,"3,6 M€",1 977 aides,551 entreprises
Activités de services administratifs et de soutien,2976796.00,1795,585,45,#FF7043,"3,0 M€",1 795 aides,585 entreprises
Enseignement,2793602.00,1766,516,45,#00897B,"2,8 M€",1 766 aides,516 entreprises
Autres sections NAF,6197875.03,3767,1347,45,#AAAAAA,"6,2 M€",3 767 aides,1 347 entreprises
Hébergement et restauration,8620767.47,3699,869,46,#26A69A,"8,6 M€",3 699 aides,869 entreprises
Commerce,5786210.00,3054,1006,46,#29B6F6,"5,8 M€",3 054 aides,1 006 entreprises
Autres activités de services,3069706.00,1923,573,46,#5E35B1,"3,1 M€",1 923 aides,573 entreprises
Construction,2575881.00,1741,831,46,#42A5F5,"2,6 M€",1 741 aides,831 entreprises
"Arts, spectacles et activités récréatives",1784849.00,1182,269,46,#8E24AA,"1,8 M€",1 182 aides,269 entreprises
Santé humaine et action sociale,1324860.00,1035,460,46,#E53935,"1,3 M€",1 035 aides,460 entreprises
Industrie manufacturière,1347688.51,1001,360,46,#AB47BC,"1,3 M€",1 001 aides,360 entreprises
"Agriculture, sylviculture et pêche",1405260.00,960,430,46,#EF5350,"1,4 M€",960 aides,430 entreprises
"Activités spécialisées, scientifiques et techniques",1607322.00,923,341,46,#FFA726,"1,6 M€",923 aides,341 entreprises
Enseignement,878838.00,658,185,46,#00897B,"0,9 M€",658 aides,185 entreprises
Autres sections NAF,2339427.00,1505,525,46,#AAAAAA,"2,3 M€",1 505 aides,525 entreprises
Commerce,9701254.00,4990,1648,47,#29B6F6,"9,7 M€",4 990 aides,1 648 entreprises
Hébergement et restauration,10105352.62,4184,938,47,#26A69A,"10,1 M€",4 184 aides,938 entreprises
Autres activités de services,5960642.00,3572,1077,47,#5E35B1,"6,0 M€",3 572 aides,1 077 entreprises
Construction,4611394.00,2964,1366,47,#42A5F5,"4,6 M€",2 964 aides,1 366 entreprises
"Arts, spectacles et activités récréatives",2971054.51,1672,378,47,#8E24AA,"3,0 M€",1 672 aides,378 entreprises
"Activités spécialisées, scientifiques et techniques",2633682.00,1589,578,47,#FFA726,"2,6 M€",1 589 aides,578 entreprises
Santé humaine et action sociale,1700161.00,1342,614,47,#E53935,"1,7 M€",1 342 aides,614 entreprises
Industrie manufacturière,1739324.00,1205,458,47,#AB47BC,"1,7 M€",1 205 aides,458 entreprises
