libelle_section_naf,montant,nombre,nombre_siren,dep,color,montant_fr,nombre_fr,nombre_siren_fr
Industrie manufacturière,3010621.00,2169,836,85,#AB47BC,"3,0 M€",2 169 aides,836 entreprises
Enseignement,2875348.00,1889,535,85,#00897B,"2,9 M€",1 889 aides,535 entreprises
Activités de services administratifs et de soutien,2816815.00,1717,645,85,#FF7043,"2,8 M€",1 717 aides,645 entreprises
Autres sections NAF,7703125.00,4799,1770,85,#AAAAAA,"7,7 M€",4 799 aides,1 770 entreprises
Commerce,10484028.00,5111,1646,86,#29B6F6,"10,5 M€",5 111 aides,1 646 entreprises
Hébergement et restauration,10192139.20,4081,957,86,#26A69A,"10,2 M€",4 081 aides,957 entreprises
Autres activités de services,6288103.00,3644,1099,86,#5E35B1,"6,3 M€",3 644 aides,1 099 entreprises
Construction,3730935.00,2539,1231,86,#42A5F5,"3,7 M€",2 539 aides,1 231 entreprises
"Activités spécialisées, scientifiques et techniques",3611942.91,2142,736,86,#FFA726,"3,6 M€",2 142 aides,736 entreprises
"Arts, spectacles et activités récréatives",3233793.76,1930,441,86,#8E24AA,"3,2 M€",1 930 aides,441 entreprises
Santé humaine et action sociale,2264860.00,1728,793,86,#E53935,"2,3 M€",1 728 aides,793 entreprises
Activités de services administratifs et de soutien,2068792.00,1248,406,86,#FF7043,"2,1 M€",1 248 aides,406 entreprises
Enseignement,1729161.00,1183,328,86,#00897B,"1,7 M€",1 183 aides,328 entreprises
Industrie manufacturière,1554219.00,1172,425,86,#AB47BC,"1,6 M€",1 172 aides,425 entreprises
Autres sections NAF,5453601.00,2994,1021,86,#AAAAAA,"5,5 M€",2 994 aides,1 021 entreprises
Commerce,9200007.00,4624,1493,87,#29B6F6,"9,2 M€",4 624 aides,1 493 entreprises
Hébergement et restauration,10940295.66,4369,991,87,#26A69A,"10,9 M€",4 369 aides,991 entreprises
Autres activités de services,6203760.27,3608,1092,87,#5E35B1,"6,2 M€",3 608 aides,1 092 entreprises
